docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed	isbio	passagefails	worderrors
uc2.ark+=13960=t8kd1td22	Ruxton, George Frederick Augustus	1820-1848.	Life in the Far West	1848	1851.0	Glorieta, N.M.|Rio Grande Pr	Ruxton, George Frederick Augustus | Life in the Far West		55093	0.806051667	0.010574389		To 1848|History		1.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.013026666666666667	0.009961666666666667
hvd.hn32p1	Hayley, William		The Life of Milton, in Three Parts	1796	1796.0	London: T Cadell			HaylWLMbio							bio|c18		m						True	0.19503714285714288	0.04578714285714286
mdp.39015073728993	Bell, Henry Glassford,		Life of Mary Queen of Scots	1831		Edinburgh, Printed for Constable	Bell, Henry Glassford | Life of Mary Queen of Scots, Volume II (of 2)	v. 2	37059							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.18593142857142858	0.010785714285714286
nyp.33433082365044	Whiting, Lilian,		Louise Chandler Moulton	1910		Boston;Little, Brown, and co	Whiting, Lilian | Louise Chandler Moulton	<blank>	42147							bio		f		a lot of poetry	morgan	gutenbiotrimmed	Trimmed	True	0.025125	0.012027500000000002
mdp.39015014138518	Hawkins, John	1719-1789	The Life of Samuel Johnson, LLD	1787	1787.0	London: J Buckland			HawkJLSbio							bio|c18		m						True	0.0591923076923077	0.03666923076923077
wu.89100034107	Levinger, Lee J.		A Jewish chaplain in France	1921		New York;The Macmillan compa	Levinger, Lee J. | A Jewish Chaplain in France	<blank>	34440							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.011868	0.014211999999999999
loc.ark+=13960=t72v30m24	Stowe, Harriet Beecher		Lady Byron vindicated	1870		Boston;Fields, Osgood, & co.	Stowe, Harriet Beecher | Lady Byron Vindicated	<blank>	44791							bio		f		unusual form: quotes from attacks on her	morgan	gutenbiotrimmed	Trimmed	True	0.017540000000000004	0.015807500000000002
uc2.ark+=13960=t59c6w28j	Beerbohm, Julius	1854-1906.	Wanderings in Patagonia;	1881	1881.0	London;Chatto and Windus;188	Beerbohm, Julius | Wanderings in Patagonia		43552	0.812762872	0.010777647		Patagonia (Argentina and Chile)|Description and travel		2.0	bio		m			ted	gutenbiotrimmed	Trimmed	True	0.200872	0.010266
mdp.39015051108531	Bettany, George Thomas,		Life of Charles Darwin	1887		London;W. Scott;1887.	Bettany, George Thomas | Life of Charles Darwin	<blank>	28380							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.24716	0.011832500000000001
uc1.b3420990	Daniels, Mabel W.		An American girl in Munich	1905		Boston;Little, Brown;1905.	Daniels, Mabel W. | An American Girl in Munich	<blank>	46102							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.03343666666666666	0.015766666666666665
hvd.rsmb83	Breckinridge, John	1797-1841	A Memorial of Mrs Margaret Breckinridge	1839	1839.0				45317							bio|c19		m						True	0.0414	0.014233333333333334
